age,young,mid,old,vold,job,admin,bluecollar,entrepreneur,housemaid,management,retired,selfemployed,student,services,technician,unemployed,marital,married,single,divorced,education,primary,secondary,tertiary,default,balance,housing,loan,contact,day,month,duration,campaign,campaign4,campaign8,campaign12,campaign16,pdays,previous,poutcome,po1failure,po2other,po3success,y
50,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,single,0,1,0,secondary,0,1,0,0,246,1,0,0,17,nov,270,1,1,0,0,0,123,2,failure,1,0,0,0
45,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,1415,1,0,0,17,nov,483,1,1,0,0,0,116,1,failure,1,0,0,0
40,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,divorced,0,0,1,secondary,0,1,0,0,5766,1,1,0,17,nov,68,2,1,0,0,0,173,1,failure,1,0,0,0
30,1,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,101,1,0,0,17,nov,348,1,1,0,0,0,123,1,failure,1,0,0,0
39,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,500,1,0,0,17,nov,257,1,1,0,0,0,178,2,other,0,1,0,0
36,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,5057,1,0,0,17,nov,70,1,1,0,0,0,166,10,failure,1,0,0,0
34,0,1,0,0,housemaid,0,0,0,1,0,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,1265,1,0,0,17,nov,118,1,1,0,0,0,164,3,failure,1,0,0,0
59,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,0,0,0,0,17,nov,90,2,1,0,0,0,110,2,failure,1,0,0,0
53,0,0,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,0,1364,0,0,0,17,nov,508,1,1,0,0,0,115,1,failure,1,0,0,0
46,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,single,0,1,0,tertiary,0,0,1,0,46,0,1,0,17,nov,80,1,1,0,0,0,152,1,failure,1,0,0,0
52,0,0,0,0,retired,0,0,0,0,0,1,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,5423,0,1,0,17,nov,93,1,1,0,0,0,115,1,failure,1,0,0,0
56,0,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,divorced,0,0,1,secondary,0,1,0,0,689,1,0,0,17,nov,110,1,1,0,0,0,103,4,failure,1,0,0,0
34,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,single,0,1,0,secondary,0,1,0,0,0,1,0,0,17,nov,214,1,1,0,0,0,174,2,failure,1,0,0,0
32,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,single,0,1,0,secondary,0,1,0,0,4344,1,0,0,17,nov,79,2,1,0,0,0,118,3,failure,1,0,0,0
59,0,0,0,0,retired,0,0,0,0,0,1,0,0,0,0,0,divorced,0,0,1,secondary,0,1,0,0,514,1,0,0,17,nov,573,1,1,0,0,0,188,1,other,0,1,0,0
59,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,primary,1,0,0,0,252,1,1,0,17,nov,138,1,1,0,0,0,175,2,failure,1,0,0,0
40,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,0,1,0,0,17,nov,74,2,1,0,0,0,196,1,failure,1,0,0,0
43,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,divorced,0,0,1,secondary,0,1,0,0,-36,1,0,0,17,nov,190,1,1,0,0,0,104,1,failure,1,0,0,0
43,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,0,0,1,0,17,nov,103,2,1,0,0,0,193,3,failure,1,0,0,0
55,0,0,0,0,entrepreneur,0,0,1,0,0,0,0,0,0,0,0,divorced,0,0,1,tertiary,0,0,1,0,1730,0,0,0,17,nov,89,2,1,0,0,0,118,3,failure,1,0,0,0
49,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,0,202,1,0,0,17,nov,651,2,1,0,0,0,104,1,failure,1,0,0,1
49,0,1,0,0,entrepreneur,0,0,1,0,0,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,313,1,0,0,17,nov,42,2,1,0,0,0,188,2,failure,1,0,0,0
39,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,single,0,1,0,primary,1,0,0,0,419,1,0,0,17,nov,186,1,1,0,0,0,181,1,failure,1,0,0,0
42,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,tertiary,0,0,1,0,14282,1,0,0,17,nov,77,1,1,0,0,0,103,4,success,0,0,1,0
56,0,0,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,1270,1,0,0,17,nov,80,2,1,0,0,0,165,2,other,0,1,0,0
44,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,4826,1,0,0,17,nov,102,1,1,0,0,0,185,4,other,0,1,0,0
42,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,0,1048,1,0,0,17,nov,71,1,1,0,0,0,186,1,failure,1,0,0,0
41,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,112,1,0,0,17,nov,1081,1,1,0,0,0,131,1,failure,1,0,0,0
51,0,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,563,1,0,0,17,nov,504,1,1,0,0,0,123,3,failure,1,0,0,0
36,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,1797,1,1,0,17,nov,166,1,1,0,0,0,181,2,failure,1,0,0,0
52,0,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,tertiary,0,0,1,0,3440,1,0,0,17,nov,124,1,1,0,0,0,131,1,failure,1,0,0,0
42,0,1,0,0,entrepreneur,0,0,1,0,0,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,373,0,0,0,17,nov,174,1,1,0,0,0,154,3,failure,1,0,0,0
45,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,2020,1,0,0,17,nov,62,1,1,0,0,0,131,1,failure,1,0,0,0
35,0,1,0,0,entrepreneur,0,0,1,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,24,1,0,0,17,nov,128,1,1,0,0,0,181,1,failure,1,0,0,0
38,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,425,1,0,0,17,nov,240,1,1,0,0,0,181,1,failure,1,0,0,0
47,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,80,0,1,0,17,nov,74,1,1,0,0,0,145,1,failure,1,0,0,0
43,0,1,0,0,self-employed,0,0,0,0,0,0,1,0,0,0,0,married,1,0,0,secondary,0,1,0,0,634,1,0,0,17,nov,65,1,1,0,0,0,131,1,failure,1,0,0,0
33,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,0,1,0,0,17,nov,809,3,1,0,0,0,181,1,other,0,1,0,0
40,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,single,0,1,0,secondary,0,1,0,0,677,1,0,0,17,nov,619,1,1,0,0,0,171,5,other,0,1,0,0
54,0,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,899,0,1,0,17,nov,61,1,1,0,0,0,145,1,other,0,1,0,0
50,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,830,0,0,0,17,nov,71,1,1,0,0,0,138,2,failure,1,0,0,0
54,0,0,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,0,2719,1,0,0,17,nov,166,2,1,0,0,0,171,2,failure,1,0,0,0
44,0,1,0,0,unemployed,0,0,0,0,0,0,0,0,0,0,1,married,1,0,0,secondary,0,1,0,0,0,1,0,0,17,nov,58,1,1,0,0,0,195,2,failure,1,0,0,0
43,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,divorced,0,0,1,secondary,0,1,0,0,-259,0,0,0,17,nov,732,1,1,0,0,0,171,2,other,0,1,0,0
51,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,248,1,1,0,17,nov,139,2,1,0,0,0,126,3,failure,1,0,0,0
51,0,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,12061,1,0,0,17,nov,150,1,1,0,0,0,188,1,failure,1,0,0,0
42,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,single,0,1,0,secondary,0,1,0,0,-15,0,0,0,17,nov,89,1,1,0,0,0,145,1,failure,1,0,0,0
46,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,divorced,0,0,1,secondary,0,1,0,0,0,0,0,0,17,nov,407,1,1,0,0,0,150,3,success,0,0,1,0
50,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,4,0,0,0,17,nov,223,1,1,0,0,0,96,2,failure,1,0,0,0
44,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,1451,1,0,0,17,nov,157,3,1,0,0,0,150,12,failure,1,0,0,0
41,0,1,0,0,unemployed,0,0,0,0,0,0,0,0,0,0,1,married,1,0,0,primary,1,0,0,0,557,1,0,0,17,nov,158,1,1,0,0,0,173,1,failure,1,0,0,0
37,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,single,0,1,0,tertiary,0,0,1,0,600,1,0,0,17,nov,116,2,1,0,0,0,196,1,failure,1,0,0,0
53,0,0,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,350,0,1,0,17,nov,113,3,1,0,0,0,132,2,failure,1,0,0,0
53,0,0,0,0,self-employed,0,0,0,0,0,0,1,0,0,0,0,married,1,0,0,secondary,0,1,0,0,248,0,1,0,17,nov,99,1,1,0,0,0,126,3,failure,1,0,0,0
52,0,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,1818,0,1,0,17,nov,189,2,1,0,0,0,111,4,failure,1,0,0,0
36,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,divorced,0,0,1,tertiary,0,0,1,0,3837,1,0,0,17,nov,184,1,1,0,0,0,193,1,success,0,0,1,0
37,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,0,1,0,0,17,nov,65,2,1,0,0,0,119,1,failure,1,0,0,0
44,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,58,1,0,0,17,nov,48,1,1,0,0,0,126,3,failure,1,0,0,0
59,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,divorced,0,0,1,tertiary,0,0,1,0,3552,1,0,0,17,nov,690,1,1,0,0,0,123,7,other,0,1,0,0
32,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,0,1,1,0,17,nov,159,2,1,0,0,0,195,2,failure,1,0,0,0
41,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,20,1,0,0,17,nov,99,1,1,0,0,0,151,2,failure,1,0,0,0
37,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,1,-954,1,0,0,17,nov,69,1,1,0,0,0,180,3,failure,1,0,0,0
43,0,1,0,0,housemaid,0,0,0,1,0,0,0,0,0,0,0,married,1,0,0,primary,1,0,0,0,0,0,1,0,17,nov,836,1,1,0,0,0,129,2,failure,1,0,0,0
51,0,0,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,primary,1,0,0,0,230,1,0,0,17,nov,174,1,1,0,0,0,195,1,failure,1,0,0,0
56,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,505,1,1,0,17,nov,171,1,1,0,0,0,172,2,failure,1,0,0,0
44,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,0,3843,1,0,0,17,nov,70,1,1,0,0,0,150,2,other,0,1,0,0
56,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,single,0,1,0,primary,1,0,0,0,109,0,1,1,17,nov,124,1,1,0,0,0,129,18,other,0,1,0,0
39,0,1,0,0,self-employed,0,0,0,0,0,0,1,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,5,1,0,0,17,nov,118,2,1,0,0,0,131,1,other,0,1,0,0
38,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,821,1,1,0,17,nov,224,2,1,0,0,0,180,1,failure,1,0,0,0
42,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,primary,1,0,0,0,275,0,0,0,17,nov,295,2,1,0,0,0,109,9,failure,1,0,0,0
34,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,single,0,1,0,tertiary,0,0,1,0,1049,1,0,0,17,nov,101,2,1,0,0,0,129,1,failure,1,0,0,0
38,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,primary,1,0,0,0,0,1,0,0,17,nov,78,2,1,0,0,0,193,2,failure,1,0,0,0
53,0,0,0,0,retired,0,0,0,0,0,1,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,2269,0,0,0,17,nov,1091,2,1,0,0,0,150,1,success,0,0,1,1
41,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,271,1,0,0,17,nov,148,2,1,0,0,0,172,2,failure,1,0,0,0
48,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,divorced,0,0,1,tertiary,0,0,1,0,-478,1,0,0,17,nov,87,5,0,1,0,0,167,6,failure,1,0,0,0
54,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,3795,1,1,0,17,nov,227,2,1,0,0,0,119,1,failure,1,0,0,0
55,0,0,0,0,entrepreneur,0,0,1,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,653,1,0,0,17,nov,193,2,1,0,0,0,186,1,failure,1,0,0,0
38,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,single,0,1,0,secondary,0,1,0,0,1255,1,0,0,17,nov,151,2,1,0,0,0,171,2,failure,1,0,0,0
50,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,divorced,0,0,1,secondary,0,1,0,0,-403,0,1,0,17,nov,130,2,1,0,0,0,119,2,failure,1,0,0,0
42,0,1,0,0,unemployed,0,0,0,0,0,0,0,0,0,0,1,married,1,0,0,primary,1,0,0,0,2636,0,0,0,17,nov,178,2,1,0,0,0,151,1,failure,1,0,0,0
40,0,1,0,0,housemaid,0,0,0,1,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,1029,1,1,0,17,nov,117,2,1,0,0,0,117,3,failure,1,0,0,0
38,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,0,0,0,1,17,nov,599,2,1,0,0,0,158,8,other,0,1,0,0
57,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,1502,0,0,1,17,nov,340,2,1,0,0,0,109,11,failure,1,0,0,0
30,1,0,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,single,0,1,0,secondary,0,1,0,0,426,1,0,1,17,nov,127,4,1,0,0,0,111,6,failure,1,0,0,0
56,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,single,0,1,0,secondary,0,1,0,0,237,1,0,1,17,nov,117,3,1,0,0,0,131,4,failure,1,0,0,0
39,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,8,0,1,0,17,nov,333,2,1,0,0,0,96,2,failure,1,0,0,0
43,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,divorced,0,0,1,secondary,0,1,0,0,1043,1,0,0,17,nov,57,4,1,0,0,0,119,3,failure,1,0,0,0
42,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,0,1027,1,0,1,17,nov,188,2,1,0,0,0,168,2,failure,1,0,0,0
44,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,724,1,0,0,17,nov,157,2,1,0,0,0,172,1,failure,1,0,0,0
36,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,0,1,0,0,17,nov,273,2,1,0,0,0,131,1,failure,1,0,0,0
40,0,1,0,0,unemployed,0,0,0,0,0,0,0,0,0,0,1,married,1,0,0,secondary,0,1,0,0,219,1,0,0,17,nov,204,2,1,0,0,0,196,1,failure,1,0,0,0
43,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,2767,1,0,0,17,nov,374,1,1,0,0,0,186,7,failure,1,0,0,0
40,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,1269,1,0,0,17,nov,353,1,1,0,0,0,172,1,failure,1,0,0,0
56,0,0,0,0,services,0,0,0,0,0,0,0,0,1,0,0,married,1,0,0,secondary,0,1,0,0,1150,0,1,0,17,nov,107,1,1,0,0,0,117,3,failure,1,0,0,0
37,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,5115,1,0,0,17,nov,1210,2,1,0,0,0,171,4,failure,1,0,0,1
56,0,0,0,0,management,0,0,0,0,1,0,0,0,0,0,0,single,0,1,0,tertiary,0,0,1,0,1092,1,1,0,17,nov,176,3,1,0,0,0,186,4,failure,1,0,0,0
37,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,121,0,1,0,17,nov,211,2,1,0,0,0,151,2,failure,1,0,0,0
58,0,0,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,divorced,0,0,1,secondary,0,1,0,0,644,0,1,0,17,nov,220,4,1,0,0,0,109,4,failure,1,0,0,0
45,0,1,0,0,entrepreneur,0,0,1,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,781,0,1,0,17,nov,652,2,1,0,0,0,126,2,failure,1,0,0,1
50,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,secondary,0,1,0,0,0,1,0,0,17,nov,114,4,1,0,0,0,168,2,failure,1,0,0,0
46,0,1,0,0,admin.,1,0,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,4958,1,0,0,17,nov,64,3,1,0,0,0,150,5,other,0,1,0,0
35,0,1,0,0,services,0,0,0,0,0,0,0,0,1,0,0,divorced,0,0,1,secondary,0,1,0,0,204,1,0,0,17,nov,295,1,1,0,0,0,186,9,other,0,1,0,0
40,0,1,0,0,blue-collar,0,1,0,0,0,0,0,0,0,0,0,married,1,0,0,secondary,0,1,0,0,755,0,0,0,17,nov,408,1,1,0,0,0,117,1,failure,1,0,0,0
43,0,1,0,0,technician,0,0,0,0,0,0,0,0,0,1,0,married,1,0,0,tertiary,0,0,1,0,1201,1,1,0,18,nov,82,1,1,0,0,0,97,3,failure,1,0,0,0
40,0,1,0,0,self-employed,0,0,0,0,0,0,1,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,3059,1,1,0,18,nov,41,1,1,0,0,0,182,1,failure,1,0,0,0
36,0,1,0,0,housemaid,0,0,0,1,0,0,0,0,0,0,0,married,1,0,0,primary,1,0,0,0,4324,1,0,0,18,nov,139,4,1,0,0,0,127,4,failure,1,0,0,0
44,0,1,0,0,management,0,0,0,0,1,0,0,0,0,0,0,married,1,0,0,tertiary,0,0,1,0,756,1,0,0,18,nov,65,1,1,0,0,0,130,2,failure,1,0,0,0
